Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read
Marvel Comics,Fantastic Four,Fantastic Four Foil Cover (verify issue),2024-01-01,1,0,0
Marvel Comics,X-Men of Apocalypse,X-Men of Apocalypse #1,2024-01-01,1,0,0
Marvel Comics,Doom: The Will of Doom,Doom: The Will of Doom #1,2024-01-01,1,0,0
Marvel Comics,West Coast Avengers,West Coast Avengers Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,Firestorm,Firestorm Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,Static: Season One,Static: Season One #1,2024-01-01,1,0,0
DC Comics,Batman,Batman #1,2024-01-01,1,0,0
DC Comics,The Flash,The Flash Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,Secret Six,Secret Six Foil Cover (verify issue),2024-01-01,1,0,0
Marvel Comics,Battleworld,Battleworld #1,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman Zatanna Cover — Foil,2024-01-01,1,0,0
Independent,Red Hill,Red Hill 2025,2025-01-01,1,0,0
DC Comics,DCKO,DCKO #2,2025-01-01,1,0,0
DC Comics,Nightwing,Nightwing Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,Titans,Titans Foil Cover (verify issue),2024-01-01,1,0,0
DC Comics,World's Finest: Batman/Superman,World's Finest: Batman/Superman Foil Cover (2026 run),2026-01-01,1,0,0
Marvel Comics,Daredevil,Daredevil #1,2024-01-01,1,0,0
Marvel Comics,Tales of Suspense,Tales of Suspense #98,1968-01-01,1,0,0
Marvel Comics,Secret Wars,Secret Wars #8,1984-01-01,1,0,0
Marvel Comics,Wolverine,Wolverine #8,1982-01-01,1,0,0
Marvel Comics,Infernal Hulk,Infernal Hulk #1,2024-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #5,2024-01-01,1,0,0
Marvel Comics,One World Under Doom,One World Under Doom #9,2025-01-01,1,0,0
Marvel Comics,Rogue Storm,Rogue Storm #2,2025-01-01,1,0,0
Marvel Comics,The Mortal Thor,The Mortal Thor #4,2025-01-01,1,0,0
DC Comics,Batman,Batman #2,2025-01-01,1,0,0
DC Comics,Batman,Batman #3,2025-01-01,1,0,0
DC Comics,Batman,Batman #4,2025-01-01,1,0,0
DC Comics,Batman,Batman #5,2025-01-01,1,0,0
DC Comics,Batman,Batman #9,2025-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #29,2025-01-01,1,0,0
DC Comics,Superman,Superman #30,2025-01-01,1,0,0
DC Comics,Superman,Superman #31,2025-01-01,1,0,0
DC Comics,Superman,Superman #32,2025-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #33,2025-01-01,1,0,0
DC Comics,Green Arrow,Green Arrow #25,2025-01-01,1,0,0
Marvel Comics,Black Panther,Black Panther #1,2024-01-01,1,0,0
Independent,Legend Has It,Legend Has It #1,2025-01-01,1,0,0
DC Comics,DC K.O.: Superman vs. Captain Atom,DC K.O.: Superman vs. Captain Atom #1,2025-01-01,1,0,0
Marvel Comics,Age of Revelation,Age of Revelation #1,2025-01-01,1,0,0
Marvel Comics,Ultimate Endgame,Ultimate Endgame #1,2025-01-01,1,0,0
Marvel Comics,Marauders,Marauders #13,2024-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #20,2024-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #21,2024-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #29,2025-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #30,2025-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #31,2025-01-01,1,0,0
Marvel Comics,Sorcerer Supreme,Sorcerer Supreme #3,2024-01-01,1,0,0
Marvel Comics,Storm,Storm #1,2024-01-01,1,0,0
Marvel Comics,Storm,Storm #4,2024-01-01,1,0,0
Marvel Comics,Cloak or Dagger: Age of Revelation,Cloak or Dagger: Age of Revelation #1,2025-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #18,2024-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #34,2025-01-01,1,0,0
DC Comics,Action Comics,Action Comics #1078,2025-01-01,1,0,0
DC Comics,Cyborg,Cyborg #3,2024-01-01,1,0,0
Marvel Comics,Captain Marvel: Dark Past,Captain Marvel: Dark Past #1,2025-01-01,1,0,0
Marvel Comics,X-Men Unlimited,X-Men Unlimited #2,2024-01-01,1,0,0
Marvel Comics,Wolverine,Wolverine #18,2024-01-01,1,0,0
Marvel Comics,X-Men,X-Men #25,2024-01-01,1,0,0
Marvel Comics,X-Men,X-Men #28,2024-01-01,1,0,0
Marvel Comics,Punisher,Punisher #3,2024-01-01,1,0,0
Marvel Comics,Marc Spector: Moon Knight,Marc Spector: Moon Knight #3,2024-01-01,1,0,0
Marvel Comics,The Amazing Spider-Man,The Amazing Spider-Man #26,2024-01-01,1,0,0
Marvel Comics,Rogue,Rogue #4,2024-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #2,2024-01-01,1,0,0
Marvel Comics,Black Theory: Best of the Best,Black Theory: Best of the Best #1,2025-01-01,1,0,0
Marvel Comics,Black Cat,Black Cat #1,2024-01-01,1,0,0
DC Comics,Fire and Ice,Fire and Ice #1,2025-01-01,1,0,0
Image Comics,Transformers,Transformers #26,2024-01-01,1,0,0
Image Comics,Transformers,Transformers #30,2025-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #10,2024-01-01,1,0,0
